id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
45695,31565,25256,23157,123400,Complete,2023-10-26 09:19:31 UTC,2023-10-26 18:11:00 UTC,2023-10-28 16:06:00 UTC,,55.0
104812,72155,57626,533,282935,Processing,2023-10-11 13:18:29 UTC,,,,30.989999771118164
61915,42668,34049,8711,167247,Shipped,2022-05-12 23:11:50 UTC,2022-05-13 02:56:00 UTC,,,79.98999786376953
33032,22811,18311,24418,89183,Cancelled,2022-05-07 22:59:56 UTC,,,,270.0
64787,44623,35627,24940,175024,Complete,2023-11-09 11:54:36 UTC,2023-11-12 09:56:00 UTC,2023-11-17 02:10:00 UTC,,11.050000190734863
140220,96527,77185,9378,378204,Shipped,2023-04-25 00:16:19 UTC,2023-04-25 03:55:00 UTC,,,12.989999771118164
93331,64275,51292,20033,251867,Complete,2021-06-02 10:11:09 UTC,2021-05-30 21:39:00 UTC,2021-06-01 17:47:00 UTC,,119.98999786376952
107731,74174,59214,17684,290800,Processing,2024-07-07 22:53:28 UTC,,,,24.239999771118164
80960,55767,44622,26463,218584,Complete,2023-11-06 09:40:06 UTC,2023-11-06 13:42:00 UTC,2023-11-10 09:19:00 UTC,,89.98999786376953
81491,56133,44903,23037,219997,Shipped,2024-08-31 12:16:30.058873 UTC,2024-09-01 07:57:26.058873 UTC,,,40.0
102329,70402,56224,1019,276217,Shipped,2024-04-22 05:28:52 UTC,2024-04-24 20:17:00 UTC,,,46.220001220703125
70671,48692,38949,27499,190894,Shipped,2024-04-22 11:48:10 UTC,2024-04-20 05:18:00 UTC,,,21.96999931335449
14039,9675,7712,11358,38021,Cancelled,2022-01-21 07:08:24 UTC,,,,28.0
137972,94970,75912,6070,372098,Complete,2024-04-21 01:36:48 UTC,2024-04-20 15:28:00 UTC,2024-04-20 21:27:00 UTC,,21.950000762939453
87483,60256,48149,13065,236090,Processing,2020-05-29 22:46:25 UTC,,,,120.0
79559,54765,43843,17971,214783,Complete,2019-08-08 14:54:13 UTC,2019-08-10 10:11:00 UTC,2019-08-11 08:33:00 UTC,,19.15999984741211
143977,99112,79246,636,388404,Shipped,2022-12-17 09:51:02 UTC,2022-12-17 17:00:00 UTC,,,18.96999931335449
31253,21573,17348,15988,84374,Shipped,2023-08-30 09:36:56 UTC,2023-08-31 08:57:00 UTC,,,5.980000019073486
105398,72576,57967,4805,284524,Complete,2020-06-29 04:43:09 UTC,2020-06-27 20:11:00 UTC,2020-07-02 06:20:00 UTC,,158.0
65445,45071,36004,4622,176773,Shipped,2023-01-08 00:35:52 UTC,2023-01-06 05:40:00 UTC,,,39.4099998474121
139796,96249,76951,11880,377027,Cancelled,2021-12-12 20:36:26 UTC,,,,42.0
103423,71174,56843,22413,279203,Complete,2024-08-08 06:24:44 UTC,2024-08-09 21:55:00 UTC,2024-08-10 04:08:00 UTC,,50.4099998474121
150419,103464,82749,13497,405847,Complete,2022-07-24 06:22:11 UTC,2022-07-24 14:45:00 UTC,2022-07-29 03:00:00 UTC,,36.7599983215332
170213,117124,93687,21231,459245,Shipped,2022-05-09 09:50:21 UTC,2022-05-10 06:05:00 UTC,,,334.0
22673,15642,12535,12184,61232,Cancelled,2024-06-12 06:20:53 UTC,,,,275.0
126338,86906,69374,25312,340773,Cancelled,2022-10-23 13:42:31 UTC,,,,9.300000190734863
75587,52061,41653,13551,204121,Complete,2024-01-05 06:52:42 UTC,2024-01-07 23:36:00 UTC,2024-01-08 06:50:00 UTC,,47.950000762939446
84936,58512,46756,5999,229261,Returned,2024-07-10 01:09:29 UTC,2024-07-06 15:01:00 UTC,2024-07-07 21:45:00 UTC,2024-07-10 11:51:00 UTC,10.8100004196167
176542,121514,97133,612,476346,Processing,2022-11-26 02:43:29 UTC,,,,8.970000267028809
138911,95638,76445,10416,374647,Shipped,2024-07-11 10:05:37 UTC,2024-07-09 17:45:00 UTC,,,15.0
94088,64794,51720,5246,253899,Complete,2022-12-24 16:03:43 UTC,2022-12-26 10:21:00 UTC,2022-12-26 17:53:00 UTC,,39.950000762939446
26590,18377,14692,2203,71759,Complete,2023-06-13 23:21:59 UTC,2023-06-17 00:54:00 UTC,2023-06-21 17:13:00 UTC,,52.0
71185,49052,39237,12248,192284,Shipped,2024-08-05 02:42:19 UTC,2024-08-05 14:25:00 UTC,,,17.989999771118164
125211,86128,68756,26456,337748,Processing,2022-06-06 13:02:23 UTC,,,,37.5
80051,55126,44120,20168,216119,Returned,2024-05-06 01:24:50 UTC,2024-05-06 13:21:00 UTC,2024-05-06 23:01:00 UTC,2024-05-07 17:04:00 UTC,149.0
137723,94799,75764,11245,371419,Shipped,2023-02-27 12:31:37 UTC,2023-02-28 08:49:00 UTC,,,40.0
99932,68760,54862,22596,269724,Processing,2020-05-09 09:24:56 UTC,,,,49.93999862670898
158608,109142,87275,14844,427954,Shipped,2022-12-28 04:16:14 UTC,2022-12-31 00:28:00 UTC,,,79.5
46646,32235,25778,14772,125959,Processing,2024-05-26 00:02:17 UTC,,,,54.0
84978,58544,46778,24758,229370,Shipped,2023-04-11 01:01:35 UTC,2023-04-13 08:14:00 UTC,,,14.949999809265137
114570,78855,62922,18221,309202,Processing,2022-07-03 21:46:20 UTC,,,,25.0
172665,118836,95031,12831,465900,Shipped,2024-07-19 14:59:16 UTC,2024-07-19 01:02:00 UTC,,,62.0
168523,115953,92740,17363,454691,Shipped,2022-09-17 00:33:43 UTC,2022-09-19 04:13:00 UTC,,,87.88999938964845
124998,85981,68639,10289,337177,Processing,2020-12-02 11:54:48 UTC,,,,16.0
149575,102897,82293,12378,403549,Processing,2024-02-14 07:02:42 UTC,,,,31.950000762939453
109,75,65,660,297,Shipped,2023-04-15 14:15:19 UTC,2023-04-15 22:44:00 UTC,,,29.950000762939453
21124,14544,11642,13867,57081,Complete,2024-05-04 01:30:54 UTC,2024-05-05 06:58:00 UTC,2024-05-08 12:54:00 UTC,,24.0
169343,116540,93224,24521,456920,Shipped,2024-02-02 10:39:08 UTC,2024-02-02 22:30:00 UTC,,,21.0
13456,9281,7395,26434,36437,Cancelled,2022-01-04 06:48:09 UTC,,,,24.0
141733,97576,78019,5597,382267,Complete,2024-07-11 09:20:10 UTC,2024-07-14 09:31:00 UTC,2024-07-18 04:10:00 UTC,,79.0
33809,23336,18720,8932,91288,Processing,2024-01-15 04:00:12 UTC,,,,22.0
15280,10523,8425,17629,41330,Cancelled,2023-08-24 13:00:29 UTC,,,,32.400001525878906
1241,834,659,4876,3379,Processing,2022-07-25 00:53:23 UTC,,,,178.0
159115,109498,87542,16075,429284,Complete,2023-07-26 03:33:28 UTC,2023-07-28 15:51:00 UTC,2023-07-31 06:43:00 UTC,,32.0
76726,52851,42300,19458,207180,Shipped,2024-02-25 08:22:33 UTC,2024-02-25 23:51:00 UTC,,,62.700000762939446
88057,60645,48456,1649,237647,Processing,2023-11-26 10:55:07 UTC,,,,34.0
144944,99781,79782,7076,391072,Returned,2024-08-28 06:40:11 UTC,2024-08-29 23:17:00 UTC,2024-09-02 03:21:00 UTC,2024-09-04 09:02:00 UTC,14.449999809265137
180270,124076,99169,12509,486389,Complete,2024-08-29 16:15:34 UTC,2024-08-31 23:47:00 UTC,2024-09-02 07:16:00 UTC,,20.790000915527344
110968,76412,60986,13160,299484,Shipped,2020-10-25 09:57:04 UTC,2020-10-25 08:02:00 UTC,,,23.989999771118164
113235,77955,62220,18378,305615,Shipped,2024-01-24 07:03:34 UTC,2024-01-25 07:14:00 UTC,,,10.109999656677246
62560,43104,34412,21265,168955,Shipped,2024-05-27 06:19:48 UTC,2024-05-30 05:23:00 UTC,,,180.0
19013,13109,10490,14541,51394,Shipped,2024-08-14 09:38:13 UTC,2024-08-14 11:17:00 UTC,,,24.979999542236328
61161,42158,33655,25651,165191,Returned,2023-03-26 12:57:20 UTC,2023-03-28 15:23:00 UTC,2023-04-02 00:43:00 UTC,2023-04-02 08:38:00 UTC,26.5
51733,35705,28462,10363,139611,Processing,2023-04-24 07:15:08 UTC,,,,36.0
65811,45313,36186,16844,177740,Shipped,2024-07-29 18:35:42 UTC,2024-08-01 14:07:00 UTC,,,25.0
87193,60052,47985,17606,235319,Cancelled,2024-08-13 02:38:29 UTC,,,,66.0
44046,30432,24345,19354,118907,Returned,2023-04-02 10:00:57 UTC,2023-04-02 18:39:00 UTC,2023-04-07 12:37:00 UTC,2023-04-08 10:27:00 UTC,27.989999771118164
99482,68459,54614,20000,268504,Processing,2023-04-22 13:34:42 UTC,,,,16.420000076293945
119047,81928,65409,23969,321187,Processing,2020-02-22 13:12:39 UTC,,,,169.0
55455,38234,30521,1355,149723,Shipped,2022-02-02 03:51:00 UTC,2022-02-03 12:05:00 UTC,,,39.9900016784668
176832,121713,97309,23833,477127,Complete,2020-05-29 11:23:09 UTC,2020-05-30 00:11:00 UTC,2020-05-30 09:44:00 UTC,,159.9499969482422
151913,104522,83606,9134,409879,Returned,2023-08-22 04:13:12 UTC,2023-08-18 18:06:00 UTC,2023-08-21 22:42:00 UTC,2023-08-23 07:46:00 UTC,37.950000762939446
92378,63605,50780,13005,249288,Processing,2024-07-31 13:20:36 UTC,,,,72.0
118714,81707,65227,18981,320326,Shipped,2022-02-06 17:36:45 UTC,2022-02-07 16:30:00 UTC,,,69.98999786376953
76416,52622,42112,2950,206328,Complete,2024-08-30 15:26:35 UTC,2024-08-27 23:46:00 UTC,2024-08-30 23:40:00 UTC,,29.5
20264,13963,11159,25430,54782,Shipped,2024-09-04 10:55:26.735356 UTC,2024-09-05 07:48:14.735356 UTC,,,21.0
130438,89712,71640,440,351807,Shipped,2023-06-27 14:42:15 UTC,2023-06-28 06:40:00 UTC,,,33.9900016784668
150200,103319,82649,8785,405244,Complete,2024-04-27 12:42:49 UTC,2024-04-27 08:45:00 UTC,2024-04-29 00:27:00 UTC,,54.950000762939446
17153,11829,9482,28840,46342,Processing,2024-05-31 22:53:51 UTC,,,,11.989999771118164
