user,session,start_seq_num,start_time,end_seq_num,purchase_time,time_taken
26350,8b72602e-ede4-467a-843e-5f91b2cf47de,1,2023-06-01 05:34:28 UTC,7,2023-06-03 05:46:47 UTC,0-0 0 48:12:19
95350,19e48101-908e-45c4-a992-ea9a6be32053,1,2024-06-16 08:17:36 UTC,5,2024-06-16 08:23:46 UTC,0-0 0 0:6:10
10190,3626fc58-4e41-482f-bfb1-2b640f9aa972,1,2023-06-22 09:02:49 UTC,10,2023-06-25 09:18:04 UTC,0-0 0 72:15:15
50459,c7588f53-e7cf-45b1-a42c-61e18889a456,1,2024-07-22 08:00:12 UTC,7,2024-07-25 08:10:49 UTC,0-0 0 72:10:37
74822,0400e163-2387-4228-82be-c6469a62a94b,1,2022-07-26 08:03:48 UTC,5,2022-07-26 08:10:39 UTC,0-0 0 0:6:51
17351,1372cc80-5635-4faa-b0dc-4371471a66fb,1,2023-12-07 17:34:19 UTC,10,2023-12-09 17:46:34 UTC,0-0 0 48:12:15
36142,11d52f6a-0ad4-46cb-9776-495172ee4cf4,1,2024-01-04 13:51:24 UTC,13,2024-01-05 14:07:57 UTC,0-0 0 24:16:33
85823,6578b03f-0cba-4569-8aed-56939ac71f50,1,2023-11-22 09:26:34 UTC,5,2023-11-22 09:31:17 UTC,0-0 0 0:4:43
88824,ec6bd867-8e54-49eb-8b41-ba92a57e32a9,1,2022-04-27 21:45:06 UTC,5,2022-04-27 21:48:30 UTC,0-0 0 0:3:24
89656,30a2558a-6062-481a-b85e-a799fda4b6f3,1,2023-03-26 15:00:50 UTC,13,2023-03-30 15:20:03 UTC,0-0 0 96:19:13
85031,e76f26c0-aa3d-4888-9445-434e0e81ccd7,1,2021-11-01 02:41:00 UTC,5,2021-11-01 02:46:15 UTC,0-0 0 0:5:15
20354,c73ee106-f0fd-488e-8e28-4f967ddd1873,1,2023-10-10 04:57:35 UTC,10,2023-10-10 05:12:44 UTC,0-0 0 0:15:9
54105,495e8cbd-21be-4cec-b1c9-5e3006cf0745,1,2020-10-24 10:32:54 UTC,7,2020-10-26 10:39:49 UTC,0-0 0 48:6:55
36905,d8c7fa32-3643-4b6f-b054-4eb2e8ef0e53,1,2024-04-13 15:51:56 UTC,7,2024-04-16 16:00:20 UTC,0-0 0 72:8:24
24280,10b8a44b-46ca-4dd3-adf5-f4ef4fd96a3d,1,2024-07-08 11:24:25 UTC,5,2024-07-08 11:29:59 UTC,0-0 0 0:5:34
52638,57c66ea6-7dfc-41f9-bd03-c4db3dc54d6a,1,2023-02-03 11:06:34 UTC,5,2023-02-03 11:14:23 UTC,0-0 0 0:7:49
51089,9397d45d-2322-4851-83c3-7c1375cab0d3,1,2024-03-13 05:35:05 UTC,5,2024-03-13 05:38:09 UTC,0-0 0 0:3:4
37889,5bf4db90-4b00-480c-8cb9-c6c797e48f8e,1,2022-07-22 11:48:53 UTC,13,2022-07-25 12:09:52 UTC,0-0 0 72:20:59
35201,c44675d6-c15e-4c04-8691-565698ee7b29,1,2024-05-20 08:07:55 UTC,5,2024-05-20 08:17:53 UTC,0-0 0 0:9:58
78606,7a47813a-f9be-492f-a972-8e292a8ed07f,1,2023-09-15 00:59:08 UTC,5,2023-09-15 01:00:40 UTC,0-0 0 0:1:32
50096,942efdf4-8471-47a9-a9eb-50812500a8d4,1,2023-12-25 15:03:13 UTC,5,2023-12-25 15:10:52 UTC,0-0 0 0:7:39
69945,77355d96-e450-4f51-8b5c-84df7611e921,1,2024-05-15 01:28:11 UTC,13,2024-05-19 01:46:18 UTC,0-0 0 96:18:7
85632,6588b3b0-5e29-4da0-b464-44cc259fcb58,1,2023-07-21 14:23:43 UTC,5,2023-07-21 14:27:08 UTC,0-0 0 0:3:25
70898,e09aafdf-2b81-438a-8d09-e0b485ac974f,1,2023-11-26 14:51:04 UTC,7,2023-11-28 14:58:32 UTC,0-0 0 48:7:28
89561,abba8c96-7b02-4b67-85cf-6bac23d39739,1,2024-05-25 11:20:46 UTC,7,2024-05-26 11:30:26 UTC,0-0 0 24:9:40
95149,1f565ad3-f49c-46a7-943f-bc93b6a3731a,1,2022-09-24 23:27:47 UTC,5,2022-09-24 23:33:32 UTC,0-0 0 0:5:45
66116,208f0d63-2dce-437e-9793-3041ba2adc19,1,2023-09-13 04:51:27 UTC,13,2023-09-13 05:15:43 UTC,0-0 0 0:24:16
1441,92d6acc3-c761-4b8d-a756-3e73c01fdf2b,1,2022-03-16 11:49:17 UTC,13,2022-03-19 12:08:29 UTC,0-0 0 72:19:12
96774,62671e13-77da-4e4d-8c79-7a40dbb491fd,1,2024-09-02 03:26:02.964542 UTC,5,2024-09-02 03:29:15.964542 UTC,0-0 0 0:3:13
83106,38ac7b70-9dd3-492a-acfd-9b3ab1441a54,1,2024-05-24 23:39:46 UTC,7,2024-05-24 23:47:08 UTC,0-0 0 0:7:22
66711,136b9a9b-7c28-464f-be65-5bc371979f33,1,2023-06-06 07:34:11 UTC,5,2023-06-06 07:44:03 UTC,0-0 0 0:9:52
30486,2a542247-a229-42f5-9027-ab32c53d51af,1,2024-03-26 05:17:21 UTC,5,2024-03-26 05:23:04 UTC,0-0 0 0:5:43
7391,8f37ff9d-1ee7-4c7e-833d-6776205ea4e6,1,2024-02-03 13:43:28 UTC,5,2024-02-03 13:48:05 UTC,0-0 0 0:4:37
97758,63b19be1-1cf6-420b-8a10-0fdc82e0c8de,1,2021-02-27 05:53:32 UTC,7,2021-03-02 06:04:34 UTC,0-0 0 72:11:2
23625,48bd6d26-ea6a-4453-84f0-897e2971b139,1,2023-03-12 09:52:40 UTC,7,2023-03-16 09:59:38 UTC,0-0 0 96:6:58
11700,3a8808bb-dce7-4f14-8b33-60674332d94f,1,2024-05-16 08:07:47 UTC,5,2024-05-16 08:14:13 UTC,0-0 0 0:6:26
62925,0003a11f-d1bd-455f-9d12-8d5e7e78952f,1,2024-08-31 22:22:47 UTC,5,2024-08-31 22:26:39 UTC,0-0 0 0:3:52
84090,0f28ae63-25f4-4c7d-b516-d1fe3ac9f945,1,2024-07-10 10:31:02 UTC,13,2024-07-13 10:49:38 UTC,0-0 0 72:18:36
38357,fc88b28f-0508-4e77-bc9d-1310e826a8d9,1,2024-09-03 12:35:28.638253 UTC,7,2024-09-05 12:40:39.638253 UTC,0-0 0 48:5:11
93668,beefbf46-2524-42dc-8388-6965907f0ae4,1,2023-08-12 01:20:32 UTC,7,2023-08-15 01:27:26 UTC,0-0 0 72:6:54
36049,88cdbeb6-3512-4141-8520-49997ef9e187,1,2022-11-17 13:56:39 UTC,10,2022-11-17 14:13:35 UTC,0-0 0 0:16:56
32096,2c21f8c8-af32-4c4e-901f-073902af5056,1,2023-06-26 03:12:45 UTC,7,2023-06-27 03:21:03 UTC,0-0 0 24:8:18
11496,cfa998d7-d080-491e-8475-3f01ec09d325,1,2023-10-09 02:57:54 UTC,5,2023-10-09 03:06:32 UTC,0-0 0 0:8:38
32358,4d735da1-f10a-4847-9634-096c87dd9ceb,1,2024-04-02 08:18:59 UTC,5,2024-04-02 08:23:42 UTC,0-0 0 0:4:43
19743,1ef0f182-15c2-4805-8d07-849e0a8e300d,1,2020-07-16 02:52:00 UTC,7,2020-07-18 03:03:24 UTC,0-0 0 48:11:24
59854,082403be-c243-49db-8be8-b2e2e190b374,1,2022-04-05 02:47:47 UTC,10,2022-04-06 03:01:16 UTC,0-0 0 24:13:29
96251,3ffdc1db-f878-4175-9d03-7cd92835001e,1,2022-08-31 13:46:11 UTC,5,2022-08-31 13:50:10 UTC,0-0 0 0:3:59
19286,da18c299-5781-4e40-9d24-22ae79bfcad2,1,2024-06-28 21:08:31 UTC,5,2024-06-28 21:15:48 UTC,0-0 0 0:7:17
19241,7e4c1ca7-8241-4cee-b06d-d466bc17249a,1,2019-01-21 06:01:03 UTC,5,2019-01-21 06:08:55 UTC,0-0 0 0:7:52
74380,f84957ad-c9f2-4999-a4fc-5cbcc729c299,1,2023-09-10 12:44:06 UTC,5,2023-09-10 12:50:52 UTC,0-0 0 0:6:46
21274,d8685add-b9dd-4bcc-bdee-e907e9b446ec,1,2024-07-01 09:04:05 UTC,5,2024-07-01 09:08:14 UTC,0-0 0 0:4:9
9261,a73c8345-0ed6-4a33-843e-d9be113357cb,1,2021-03-25 14:59:23 UTC,5,2021-03-25 15:05:34 UTC,0-0 0 0:6:11
18170,3e684391-067d-4138-9699-3c7af18298ab,1,2023-08-06 10:00:38 UTC,10,2023-08-10 10:15:34 UTC,0-0 0 96:14:56
3219,9bdec352-2c73-46ff-b338-1531f124aa4c,1,2024-08-01 10:31:09 UTC,5,2024-08-01 10:37:50 UTC,0-0 0 0:6:41
60682,e9c0d346-2ab3-4f3c-9595-9bf840e06f30,1,2023-12-03 02:20:05 UTC,5,2023-12-03 02:27:38 UTC,0-0 0 0:7:33
26888,7c310144-d99d-4d5a-8f8a-062f75530dd3,1,2024-09-02 12:53:01.954404 UTC,13,2024-09-05 13:09:08.954404 UTC,0-0 0 72:16:7
78429,4b1e49d7-decc-409e-80ce-ad4e81a2555b,1,2023-04-30 08:59:56 UTC,5,2023-04-30 09:02:36 UTC,0-0 0 0:2:40
7213,883f1f26-2355-43a9-b68a-486a2f21ac13,1,2023-09-19 10:39:54 UTC,7,2023-09-20 10:46:20 UTC,0-0 0 24:6:26
60575,8c01b8b8-c48a-4639-ac05-eae23f4ddad0,1,2022-10-23 13:36:35 UTC,5,2022-10-23 13:43:54 UTC,0-0 0 0:7:19
45698,b10c3c66-ac66-465a-b2ed-bf04f7ae7e99,1,2023-03-13 08:46:17 UTC,5,2023-03-13 08:52:19 UTC,0-0 0 0:6:2
24676,d577bcdf-76ba-4898-bac5-e72a1443f4b0,1,2022-03-03 02:23:16 UTC,5,2022-03-03 02:28:50 UTC,0-0 0 0:5:34
99717,a6f8ff8d-62cb-44e6-a815-05a217e1dfc0,1,2023-07-27 23:54:32 UTC,5,2023-07-28 00:01:23 UTC,0-0 0 0:6:51
30541,dd37b06b-2320-4401-b09b-a34ce382e502,1,2023-03-04 10:33:59 UTC,5,2023-03-04 10:38:48 UTC,0-0 0 0:4:49
18304,81d1c31e-9c81-4a16-84c4-475cc0c23d95,1,2023-10-12 08:16:26 UTC,13,2023-10-13 08:32:18 UTC,0-0 0 24:15:52
63358,073b9252-3be0-42dc-98a6-1f125a013f88,1,2020-10-02 11:15:13 UTC,5,2020-10-02 11:21:26 UTC,0-0 0 0:6:13
55459,e7ad2706-a39d-4c30-90ce-a3f4745dc821,1,2022-05-14 13:15:15 UTC,5,2022-05-14 13:19:29 UTC,0-0 0 0:4:14
3284,5ecab306-1f5d-41e1-8c4b-cd5b85980a18,1,2022-04-04 13:17:21 UTC,5,2022-04-04 13:24:02 UTC,0-0 0 0:6:41
638,693ef838-d511-4c0f-8f41-667aab0861b7,1,2024-04-17 11:36:35 UTC,5,2024-04-17 11:43:23 UTC,0-0 0 0:6:48
37196,3b17ba3c-e48e-4267-af93-9f7eabdcca18,1,2020-10-11 10:08:01 UTC,7,2020-10-15 10:18:36 UTC,0-0 0 96:10:35
37945,fa46a992-f721-4310-aa05-7dfe23352127,1,2022-12-29 11:24:40 UTC,5,2022-12-29 11:27:16 UTC,0-0 0 0:2:36
4751,6c62d1d4-9783-4842-ab84-135fe2b5516c,1,2021-11-04 08:15:43 UTC,5,2021-11-04 08:21:22 UTC,0-0 0 0:5:39
82115,2def8f3b-c1e2-4900-ada1-5b701e32c295,1,2023-03-06 15:45:42 UTC,13,2023-03-06 16:11:18 UTC,0-0 0 0:25:36
66632,e3a291be-1b5f-417c-8f4d-a361d7a88a7b,1,2020-12-26 13:53:03 UTC,7,2020-12-26 14:00:39 UTC,0-0 0 0:7:36
41331,dc3af2d5-8e5f-42f8-8a23-1113e4837791,1,2021-07-17 11:24:00 UTC,13,2021-07-21 11:40:22 UTC,0-0 0 96:16:22
28657,02c8ade0-5a32-4cd0-beed-7534a5e29656,1,2024-08-31 09:33:57.985994 UTC,5,2024-08-31 09:38:06.985994 UTC,0-0 0 0:4:9
85271,ed55dc4b-a07d-4a95-a2a1-a86e73b16fbd,1,2024-08-15 01:10:17 UTC,10,2024-08-16 01:28:37 UTC,0-0 0 24:18:20
32962,f096386e-82d2-4148-882a-6d23e60a4aac,1,2024-08-12 00:12:08 UTC,7,2024-08-13 00:16:08 UTC,0-0 0 24:4:0
65704,bf9b7bd4-b318-4bc3-8485-e32f2e7ad753,1,2024-05-17 12:28:03 UTC,5,2024-05-17 12:33:40 UTC,0-0 0 0:5:37
62342,32b7842a-cc46-4193-9573-6a6adec1ca96,1,2021-07-09 04:25:04 UTC,5,2021-07-09 04:30:12 UTC,0-0 0 0:5:8
55879,b5e6026a-86ff-4149-9bc6-70d05bc63f8c,1,2024-08-10 08:02:10 UTC,5,2024-08-10 08:09:07 UTC,0-0 0 0:6:57
133,6c735a2e-f35a-48bb-9749-58728c6ca8d9,1,2022-03-25 21:28:49 UTC,7,2022-03-28 21:35:23 UTC,0-0 0 72:6:34
6976,7accf883-b780-4210-a13a-cb6ab4dd21d2,1,2024-06-28 08:27:51 UTC,5,2024-06-28 08:36:24 UTC,0-0 0 0:8:33
