id,user_id,sequence_number,session_id,created_at,ip_address,city,state,postal_code,browser,traffic_source,uri,event_type
2076736,,2,319e8899-32b9-4f91-8277-7307b4950282,2023-07-30 02:01:00 UTC,178.191.209.80,Dortmund,Nordrhein-Westfalen,44145,Firefox,Email,/product/23757,product
1521598,,2,af55002c-7f3e-4a55-8d95-881d107003c2,2020-10-02 06:56:00 UTC,217.42.154.133,Beijing,Heilongjiang,150300,Firefox,Email,/product/1186,product
706045,53930.0,6,62c67d3e-ddaf-427c-ae2c-c928a554e4df,2023-10-26 07:46:00 UTC,131.61.107.92,Wada area,Fujian,362302,Firefox,Email,/cart,cart
99416,7588.0,8,7f9f8e0f-438e-4128-b483-777eaed418a6,2023-01-09 08:14:00 UTC,200.100.232.205,Conselheiro Lafaiete,Minas Gerais,36400-000,Firefox,Facebook,/product/19827,product
1161905,88961.0,5,47b7903c-d5d4-42fe-8ec7-25f9b729ebbd,2024-07-02 16:06:21 UTC,152.25.252.8,Yiyang,Zhejiang,315299,Chrome,Facebook,/product/18790,product
2282826,,2,804c3dd0-01ee-48f3-bfc0-bb1fa5666209,2023-03-04 06:16:00 UTC,103.234.232.133,Horizon West,Florida,34787,Chrome,Email,/product/9213,product
1649261,,1,4f8ca48f-c5fc-4117-a11a-ade4b74d229c,2020-10-12 06:17:00 UTC,97.120.204.156,Shanghai,Beijing,101509,Firefox,Email,/department/men/category/socks/brand/carhartt,department
2151747,,3,4410865b-185b-4d52-bc41-856645e84bbe,2019-01-19 13:48:00 UTC,103.144.81.93,New York,New York,11219,Chrome,Adwords,/cart,cart
2108263,,1,41189865-f499-41c8-bc2d-6693bf73ac8d,2019-08-12 13:42:00 UTC,165.186.195.100,Tokyo,Tokyo,143-0012,Chrome,Email,/product/19055,product
1825508,,1,ae2707b6-502a-4f85-8a85-1c99759282c9,2021-12-15 15:51:00 UTC,94.200.10.232,Jiamus,Jiangsu,226200,Chrome,YouTube,/product/1476,product
1942633,,3,51ff218c-9fa9-4458-9b69-60359df842b1,2023-11-20 06:43:00 UTC,25.174.45.145,Greenville,North Carolina,27834,Firefox,Organic,/cancel,cancel
239655,18479.0,4,ba46c090-fa21-45b1-886c-dc4d53c3c2c0,2022-10-27 04:26:32 UTC,169.42.133.160,Goole,England,DN14,Firefox,Facebook,/department/women/category/intimates/brand/artwedding,department
416128,31853.0,4,20154a11-e8db-4736-9c6b-cd9f9ff5c64a,2023-06-06 00:17:09 UTC,1.161.60.115,Handan,Guangdong,528463,Other,YouTube,/cart,cart
756799,57901.0,8,29b71b56-a4ca-4eb7-9fb4-bcc328065fc3,2024-07-21 02:18:34 UTC,62.212.255.54,Foshan,Guangdong,511450,Firefox,Email,/product/7016,product
976703,74781.0,5,8f94b173-72ec-4373-b583-1d30d1f99a51,2021-05-18 11:02:23 UTC,179.97.239.45,Kaifeng,Jilin,138000,Chrome,Facebook,/purchase,purchase
1847377,,2,67468c42-4510-4733-9914-b519ec832812,2020-08-01 08:08:00 UTC,137.223.196.8,Beijing,Shanghai,201824,Chrome,Email,/product/11769,product
465130,35595.0,1,7d3fea16-499c-4ae9-9390-9846aa699da6,2024-06-06 23:53:22 UTC,104.2.38.152,Lockport,Illinois,60441,Safari,Organic,/department/men/category/tops&tees/brand/tommyhilfiger,department
2004017,,2,3bdee6b3-be9d-459f-8b73-b5ac4bb556ea,2021-10-06 07:24:00 UTC,16.51.51.206,Seoul,Seoul,156-034,Safari,Email,/cart,cart
1396901,,3,bc32c4a9-afd7-4276-bbba-b318fef782d4,2024-06-02 09:06:00 UTC,209.145.220.53,London,England,SW17,Firefox,Adwords,/cart,cart
569287,43637.0,4,fd6b660f-3ee6-4ca4-adc6-3f715ef2c248,2024-06-24 09:45:34 UTC,86.178.38.223,Shanghai,Zhejiang,325035,Chrome,Email,/department/men/category/shorts/brand/jetlag,department
1406929,,1,16ce2c6c-8a89-4727-ac69-62c381202955,2021-06-30 15:00:00 UTC,133.76.90.95,East Windsor,New Jersey,8520,Firefox,YouTube,/product/26650,product
167694,12914.0,4,c603bccf-e5b4-4388-8323-2762c3258a66,2024-09-03 05:36:25.460642 UTC,137.45.194.94,East Wenatchee,Washington,98802,Firefox,Email,/department/women/category/tops&tees/brand/mylittlepony,department
452360,34607.0,7,bb6746b9-6f47-4772-9923-5f825c39e9ee,2024-06-02 05:23:06 UTC,71.204.20.169,Iranduba,Amazonas,69405-000,IE,Facebook,/purchase,purchase
564652,43271.0,3,95e2e7b5-f03f-429b-8a6b-ffeb9cc13956,2024-03-01 09:54:11 UTC,113.102.225.35,Shenzhen,Hebei,74300,Chrome,Email,/cart,cart
2308005,,2,d1c0c032-43e7-4ee9-b8fd-c7a16925c581,2019-06-30 01:07:00 UTC,22.202.117.174,Carrollton,Georgia,30117,Chrome,Email,/product/22221,product
2351887,,1,b705b149-30b6-400d-9304-a95db2c31e3f,2019-10-18 16:55:00 UTC,57.247.248.227,Malville,Pays de la Loire,44260,Chrome,Email,/department/men/category/pants/brand/izod,department
1584638,,1,d0f97a33-1f82-4511-8ca1-47858015857f,2019-09-15 11:58:00 UTC,139.170.237.112,Paris,Île-de-France,75018,Chrome,Adwords,/product/4541,product
1727667,,3,0c2bab68-77f6-474a-bfc1-d482788345a1,2019-08-15 03:20:00 UTC,153.223.38.149,Loudi,Guizhou,552100,Chrome,Adwords,/cart,cart
37920,2903.0,1,1704196a-6172-4612-9a90-55f51b4cc3e5,2024-06-27 01:25:32 UTC,135.230.203.101,Dangjin City,Chungcheongnam-do,343-830,Firefox,Email,/home,home
554473,42549.0,3,9cc26993-e22b-429d-9885-b3a0359215d3,2023-05-04 23:42:36 UTC,223.198.2.21,,Georgia,30044,Chrome,Facebook,/cart,cart
1505821,,2,1161846b-e126-4f34-a81d-2adab77e41d7,2022-04-12 06:33:00 UTC,203.86.18.6,Handan,Tianjin,300280,Chrome,Organic,/product/9753,product
2020876,,1,f10f8aea-604e-47cc-ba0d-b376842c0575,2020-07-18 12:39:00 UTC,189.113.140.13,Seoul,Seoul,136-131,Safari,Email,/department/women/category/jumpsuits&rompers/brand/zeniche,department
944876,72197.0,1,f179b870-0b1a-4ce2-b86d-f38d54b9b6ca,2023-04-15 21:41:14 UTC,80.186.114.209,Seoul,Seoul,122-100,Firefox,Email,/department/men/category/swim/brand/hurley,department
1983847,,1,360e217c-45c5-4add-a40c-eab1fd3c9b44,2020-08-15 08:06:00 UTC,114.253.103.235,Xi'an,Hubei,430415,Safari,Email,/product/15802,product
34899,2666.0,7,fed06f52-95b7-4f64-b426-562b6502b3e4,2024-06-18 03:25:30 UTC,17.58.109.85,Anyang,Guangdong,515061,Firefox,Email,/department/women/category/skirts/brand/billabong,department
1745263,,2,c586c8f4-5562-4d32-beae-1176641891e4,2022-01-08 12:47:00 UTC,169.5.184.85,Hamamatsu city,Shizuoka,431-0201,Firefox,Adwords,/product/7318,product
370676,28432.0,4,d3700f38-1fe6-44e8-8102-1b356d69950c,2024-08-11 07:59:36 UTC,18.7.18.156,Vandœuvre-lès-Nancy,Grand Est,54500,Chrome,Adwords,/cart,cart
346843,26679.0,4,684cedd6-0a1d-46f9-805d-ee305b797117,2024-02-08 03:30:12 UTC,174.163.241.28,Shan Tou,Fujian,350028,IE,Organic,/department/women/category/socks&hosiery/brand/thatsrad,department
583241,44731.0,6,1a65931d-2cff-48a4-8521-183891f15711,2024-05-18 02:40:55 UTC,64.215.207.69,Cleveland,Tennessee,37311,Chrome,Adwords,/cart,cart
1569873,,3,43afc849-0c42-4be1-8423-c249c5892248,2020-10-31 03:46:00 UTC,97.167.174.248,Zhanjiang,Hebei,75100,Chrome,Adwords,/cancel,cancel
331394,25577.0,1,f15400c8-35e0-4e68-ab48-7a58c189754e,2021-01-12 01:08:29 UTC,168.198.185.70,Dalian,Hubei,435005,Safari,Adwords,/home,home
1136368,86972.0,4,3f1c1b30-13c9-42f0-9e63-58dd1b257104,2022-02-14 13:31:19 UTC,87.44.137.237,Argenteuil,Île-de-France,95100,Firefox,Email,/cart,cart
399655,30631.0,3,94721009-1c76-4578-8c6a-521fb85c117e,2023-06-29 23:24:53 UTC,62.90.69.193,Jacarezinho,Paraná,86400-000,Chrome,Adwords,/product/3932,product
282783,21811.0,5,f6438d55-9335-4925-a33b-7c749247b1d3,2023-09-25 12:30:43 UTC,40.49.138.7,Haixi Mongolian Tibetan Autonomous Prefecture,Liaoning,116399,Chrome,Adwords,/product/26126,product
1983464,,1,2bb54784-f583-4abc-8f21-efa338039362,2019-09-09 08:01:00 UTC,223.199.202.14,West Lake Stevens,Washington,98258,Chrome,Facebook,/product/19390,product
1260864,96510.0,1,1045b800-bd9e-41ce-a21d-d975e82d5a4d,2024-04-27 05:00:49 UTC,138.52.3.58,Beijing,Guangdong,516221,Safari,Email,/home,home
2384723,,2,f421bec0-8e46-46bd-98dd-d6aa6d2a4ade,2023-03-06 15:57:00 UTC,212.101.120.169,Maoming,Guangxi Zhuang Autonomous Region,536063,Safari,Facebook,/product/19565,product
806383,61688.0,3,b9fe5b9c-d426-4039-b0e7-c9468eb66315,2024-08-07 14:46:27 UTC,217.3.130.10,Wakefield,England,WF1,Firefox,Email,/product/11646,product
34637,2648.0,2,fe8c647c-ae3a-4ef0-9d1d-e91f329bbe0c,2021-04-10 01:58:18 UTC,84.184.60.90,Changsha,Anhui,230022,Chrome,YouTube,/product/21402,product
807277,61766.0,3,b6e713c7-a1b3-406a-a514-4465cf3185ba,2024-08-18 22:41:03 UTC,102.215.223.238,Kineton,England,CV35,Chrome,Adwords,/product/24712,product
1523645,,3,3d381b7b-da7a-47a3-a1e5-ff04f1cdef95,2021-11-15 15:14:00 UTC,58.109.224.49,Canaã dos Carajás,Pará,68537-000,Chrome,Facebook,/cancel,cancel
296666,22863.0,12,f0d77350-213d-4f88-982e-ca6aa96b1ede,2020-06-11 07:53:35 UTC,55.176.215.15,Swindon,England,SN3,Firefox,YouTube,/cart,cart
728063,55621.0,3,5ec527d8-7f47-4f32-9fc1-f7ec2b2f6f96,2022-12-12 09:08:01 UTC,23.53.20.177,Wuhan,Henan,457000,Chrome,Adwords,/cart,cart
2285028,,1,d5f49d5b-5216-4dd7-81b3-6e40654e29c8,2024-01-30 17:44:00 UTC,162.62.161.147,Fort Worth,Texas,76179,IE,Email,/product/18234,product
2041417,,1,0bb449dd-903c-4d2f-845a-9c9b8aaa54a4,2019-11-22 03:27:00 UTC,201.150.175.24,Bellingham,Washington,98225,Safari,YouTube,/product/17615,product
