id,cost,category,name,brand,retail_price,department,sku,distribution_center_id
25926,17.206120066438913,Underwear,Kings' Court Big & Tall 3-Pack Knit Boxers - Assorted Solid and Stripes,Kings' Court,38.84000015258789,Men,1DC509EAD6FE22B846A8A86766E7F02E,3
17904,31.5962505001016,Fashion Hoodies & Sweatshirts,Chevrolet Camaro Fade Pullover Hoodie - Orange,Football Fanatics,54.950000762939446,Men,EE57534B6283D20F8E089075AE8D976B,4
14352,31.32000010460615,Maternity,Anita Maternity Women's Underwire Nursing Bra  #5041,Anita,72.0,Women,37B1FE960DABA91FFFADBDB5A3A9DB15,5
15393,15.63821977805972,Plus,Fox River Original Rockford Red Heel Cotton Monkey Sock,FoxRiver,31.979999542236328,Women,0DB1ABB0147975F10B47EBA2F817E01D,4
14791,11.640679833583237,Maternity,Motherhood Maternity: Long Sleeve Scoop Neck Twist Neck Detail Maternity T Shirt,Motherhood Maternity,24.979999542236328,Women,874DC8C9CD9006D9AACA0CB5AC550812,3
8350,53.55588232516766,Outerwear & Coats,The North Face Pink Ribbon Osito Womens Jacket 2012,The North Face,129.99000549316406,Women,29D74915E1B323676BFC28F91B3C4802,3
10961,5.072999995434657,Intimates,Warner's Women's True Fit Hipster,Warner's,9.5,Women,D9BEC6B996FF7A16FC57FB253E6255C8,2
20214,95.51602180586848,Suits & Sport Coats,Elie Tahari Mens 2 Button Flat Front Black Pinstripe Wool Suit,Elie Tahari,239.9900054931641,Men,3171B3BC8D19C82F38FEF8B518AEF833,5
15574,6.59400001168251,Plus,Nine West Women's Dot Solid Tipped and Solid 3 Pair Crew Pack Socks,Nine West,14.0,Women,75814C64E85B3353A7A71FCF0D3C4A2F,10
15408,17.387999966740608,Plus,Shadowline Short Sleeveless Gown with Flower Petal Embroidery,Shadowline,36.0,Women,EA1F3996186B76FE1D40F12034B4742A,2
15856,17.885999981313944,Plus,Mud Pie Convertible Infinity Scarf,Mud Pie,33.0,Women,5876C7630A0E60DE86C222EB56CE843D,8
3336,77.8374997433275,Dresses,Sofie Women's Cashmere V-Neck Long Sleeve Dress,Sofie,162.5,Women,98BD65207EE83BFD17EBB0DB971EDDF9,2
2616,13.920000046491625,Active,New Balance Women's Tempo Long Sleeve Tee,New Balance,30.0,Women,A3D06DB1F8C85B2837B4603A51834425,3
12155,31.92999997921288,Intimates,Frederick's of Hollywood Menswear Corset Womens,Frederick's of Hollywood,62.0,Women,8D969817EDA63BA5EB9F49EA11F0B5AE,3
7713,20.592000106349587,Blazers & Jackets,Torrid Plus Size Heather Grey Ponte Cropped Blazer,Torrid,58.5,Women,B55C86AF1C55672A8792354910CD548D,9
705,15.351619692896604,Tops & Tees,Patty Women Sexiest Strapless Pleated Bust Clubwear Party Tube Top,Patty,26.979999542236328,Women,4A47D2983C8BD392B120B627E0E1CAB4,1
8041,81.65699968859553,Clothing Sets,V-neck Zip-front Top And Ankle-pants Set,Orvis,129.0,Women,1A07BCC79F21590B3ED2622D5807BDD0,8
14444,12.996750402662904,Maternity,Mommy Paradise Maternity Top 3566,Mommy Paradise,27.950000762939453,Women,73A2EF803DEBEEE21DE0E42F9C91AA6C,7
4270,31.4190394210881,Jeans,Pajama Jeans Pajama Jeans As Seen On TV (80018),Pajama Jeans,59.959999084472656,Women,39B8F721582654655A6999AABE905204,5
21660,16.621110822796226,Pants,Dockers Mens Comfort Waist Khaki D3 Classic Fit Flat Front Pant,Dockers,33.9900016784668,Men,109A44B224F37495F1E879070E9DE39E,7
844,20.99135948830784,Sweaters,D.E.P.T. Women's Cashmere Touch Pullover Sweater,D.E.P.T.,50.459999084472656,Women,E97EE2054DEFB209C35FE4DC94599061,9
21159,112.85999969020486,Jeans,7 For All Mankind Men's Austyn Relaxed Straight Leg Jean,7 For All Mankind,198.0,Men,8336A44C34EB4EDA4D10217C50C245E6,8
16684,56.64399979263544,Tops & Tees,Diesel Men's Stombol-S Shirt,Diesel,98.0,Men,C0DAA585594B41BEA3AEAF7AF2A12E29,10
1561,13.49549993051961,Fashion Hoodies & Sweatshirts,Jr Plus Size Lace Zipper Front Hoodie Top Black,eVogues Apparel,29.989999771118164,Women,B132ECC1609BFCF302615847C1CAA69A,5
10751,7.765999921277165,Intimates,Olga Womens Secret Hug Nylon Scoops Halfpant,Olga,14.119999885559082,Women,5699EA73CDA4C69B17C2255EC26DB204,3
23661,20.520000094547868,Outerwear & Coats,Columbia Men's Fast Trek II Half-Zip Fleece Jacket,Columbia,45.0,Men,71774466490CFECE06C4C11B345DC5B2,6
20378,32.38399973511696,Suits & Sport Coats,Oak Hill Big & Tall ContnuouLong Sleeve Suit Separate Vest,Oak Hill,88.0,Men,8CDEB355060BEA983BCE7E4D58D7A666,3
1949,7.717709893499464,Fashion Hoodies & Sweatshirts,FULL TILT Essential Womens Sweatshirt,Full Tilt,17.989999771118164,Women,36AC8E558AC7690B6F44E2CB5EF93322,5
11042,10.007999997586012,Intimates,Wacoal Women's Flirt Alert Bikini,Wacoal,18.0,Women,35769AF2909A9593B22F8B832AE7600E,8
5460,51.19399988930672,Pants & Capris,Kenneth Cole Women's Petite Chloe Pant,Kenneth Cole,89.5,Women,FB4C835FEB0A65CC39739320D7A51C02,6
26204,11.65000001201406,Underwear,Bjorn Borg Men's Side Stetch Solid Boxer Brief,Bjorn Borg,25.0,Men,0A8D0A30ADA365AEE33DBF72FDA7574E,9
16042,23.39999996125698,Tops & Tees,G-Star Men's Curtis RT Short Sleeve Tee Shirt,G-Star,40.0,Men,FDC3507C5193FE2896B618F1D154360B,10
19008,167.37499989103526,Sweaters,Dale Of Norway Anniversary Quarter-zip Sweater,Orvis,325.0,Men,6C3A4EE6624EC8F6A1700123174D614E,8
4541,106.12799978535622,Jeans,7 For All Mankind Women's The Slim Cigarette Jean,7 For All Mankind,198.0,Women,2F3C6A4CD8AF177F6456E7E51A916FF3,8
2831,11.645339940260946,Active,Woman Within Plus Size Tall Sweat Pants in easy fleece,Woman Within,24.989999771118164,Women,4EA6A546C19499318091A9DF40A13181,5
6096,4.4735998576819895,Leggings,'Sexy Legs' Watercolor Floral Fashion Leggings,boxed-gifts,6.989999771118164,Women,E7DFCA01F394755C11F853602CB2608A,10
16107,26.99999995529652,Tops & Tees,Columbia Sportswear Men's Bahama II Short Sleeve Shirt,Columbia,50.0,Men,BFF886BF82B0832959345270AD54024F,6
8853,8.736150306282937,Socks & Hosiery,Smartwool Women's Snowflake Fairisle Sock,SmartWool,20.950000762939453,Women,84CA205FE6BC691C41C3BFE5A2820A15,2
17589,32.31900009512901,Fashion Hoodies & Sweatshirts,Metal Mulisha Men's Deegan Offroad Fleece,Metal Mulisha,57.0,Men,45EFB53717E251FFF467FF439BBCE62E,7
4962,71.4571887881732,Jeans,Hudson Women's Collin Slim Fit Skinny Jean,Hudson,122.98999786376952,Women,66BF858E119401396053E04633D95637,2
17935,29.53817982330144,Fashion Hoodies & Sweatshirts,DC SHOES Men's Big D Hoodie Hoody Sweatshirt Black,DC,49.97999954223633,Men,8371979223147775C9E22E45D0B4635B,4
22115,12.579000373989343,Pants,Concitor Men's Dress Pants Slacks Flat Front Trousers Emerald Green,Concitor,29.950000762939453,Men,A9836BA478550A1E6FFE8A013A8A0A4B,2
13718,10.81599998101592,Accessories,Outdoor Research Women's PL 100 Gloves,Outdoor Research,26.0,Women,17463EC465317DC0558D5A5234B7B8BA,2
6907,14.055179781771898,Shorts,Quiksilver Women's The Beachie Drawstring Waist Shorts Pink G11003-PPE,Quiksilver,25.979999542236328,Women,B20706935DE35BBE643733F856D9E5D6,9
26675,14.167999884113668,Sleep & Lounge,Daniel Buchler Men's Fleece Pant,Daniel Buchler,38.5,Men,E30237D8D85425505B870C1B197FF99D,7
9472,7.1018198658454414,Socks & Hosiery,Comfort Choice Plus Size 6-Pack Multi Textured Trouser Socks,Comfort Choice,16.989999771118164,Women,86F3F50A6F945BBFA351E55FAAC043FB,8
6308,11.574999988079073,Shorts,Dockers Women's Utility Promo Short,Dockers,25.0,Women,EB21CC0143D96DBC8E3A58F1A81E4DD2,7
2631,6.70400002785027,Active,injinji Yoga Toesocks,Injinji,16.0,Women,E113BB92C69391DD39E2488F9F588382,1
28592,5.444799867761136,Accessories,Quiksilver Men's The Juice Belt,Quiksilver,13.279999732971191,Men,D6DF8E50C3CC76AB487E51448CC1C57F,9
28650,5.473999984562397,Accessories,Saddleback Leather Wallet Sleeve,Saddleback Leather Co.,14.0,Men,52D3882D85EC8A840371C62855241CEB,2
8116,30.294000037014484,Suits,Danny & Nicole Women's Bolero Jacket Dress,Danny & Nicole,54.0,Women,8F6242793017047D373F29F270388BA9,9
14216,2.2344298998505625,Accessories,Knitted Beanie Crochet Winter Hat with Elegant Knitted Flower and Fur Ball Many Colors,NYGiftStop Knit Hat,5.489999771118164,Women,631FE0C7519B232B0A0F6B965AF015A9,8
28159,103.03200030326845,Swim,Vilebrequin Swim Trunks XXX-Large 3X Turtle Print Nylon Swimsuit Shorts for Men,VILEBREQUIN,159.0,Men,F60749FA4CEE4F9DFE786ABA9D7BE0DA,9
22363,19.64654973059222,Pants,Oneill Men's Contact Pant,O'Neill,44.54999923706056,Men,FD82BCC747197EBB3ECDF6D87E0D86B3,8
23495,16.758000008761883,Shorts,Ezekiel Men's Inglewood Short,Ezekiel,36.75,Men,658291350529BA8278EE3C743F7FCD95,1
12842,26.383500074967746,Swim,Seafolly Women's Matt Skirted Pant,Seafolly,58.5,Women,3521A3A5BCFEA0FE1189F8BC13AF1F99,4
11690,18.96477104634001,Intimates,Arianne Women's Tina Camisole Bodice,Arianne,33.33000183105469,Women,418B5015D870B2632C0840039BFEC155,6
28915,7.762469921826125,Accessories,Levi's Men's Front Pocket Wallet With Money Clip,Levi's,21.989999771118164,Men,5F69E19EFABA426D62FAEAB93C308F5C,4
27364,16.356450253050028,Sleep & Lounge,Shawl Collar Waffle Diamond pattern Beige Color Adult Bathrobes Robes Unisex Waffle Robe Mens and Womens Bathrobe 100% Cotton Waffle Cloth,robesale,37.950000762939446,Men,CD38F5966780CB1CC56D6A8C3FF22EA0,9
27923,17.58450006879866,Swim,Zonal Men's Content Boardshort,Zonal,28.5,Men,FBE9EC51F2A0539841646940865085C8,10
16926,26.90235038679242,Tops & Tees,Surfing Santa Claus Holiday Old Woodie Surfboard Men's Hawaiian Shirts 100% Cotton,Pacific Legend,46.950000762939446,Men,521EAE94653641EC7BE496DB736CE3F6,2
5133,14.425189908230156,Pants & Capris,Woman Within Plus Size Tall pants in stretchy ponte knit,Woman Within,29.989999771118164,Women,99064BA6631E279D4A74622DF99657D6,5
1588,11.602779764120728,Fashion Hoodies & Sweatshirts,Woolrich Women's Rohana Hoodie,Woolrich,25.059999465942383,Women,894B77F805BD94D292574C38C5D628D5,8
8263,29.70000006258488,Outerwear & Coats,Columbia Women's Benton Springs Full Zip Jacket,Columbia,60.0,Women,854F1FB6F65734D9E49F708D6CD84AD6,6
4457,36.719999983906746,Jeans,American Apparel Easy Jean,American Apparel,72.0,Women,70AFBF2259B4449D8AE1429E054DF1B1,8
28026,38.318000074476,Swim,Quiksilver Waterman Men's Coopers Beach Hybrid Trunk,Quiksilver,59.5,Men,21353D3D417EB49D01E341EF047696AE,9
5760,4.438649866117537,Leggings,'Sexy Legs' Black Cheetah Print Fashion Leggings,boxed-gifts,6.989999771118164,Women,9EC51F6EB240FB631A35864E13737BCA,10
11707,37.09200005605817,Intimates,Hanky Panky Hello Kitty Print Cami,Hanky Panky,66.0,Women,E2CE14E81DBA66DBFF9CBC35ECFDB704,8
2934,12.168000057339668,Active,Champion Women's Eco Fleece Knee Pant,Champion,26.0,Women,5DC126B503E374B0E08231344A7F493F,2
212,6.249599899584055,Tops & Tees,Allegra K Lady Scoop Neck Long Sleeves Blk Asymmetric Hem Shirt S,Allegra K,11.159999847412108,Women,1534B76D325A8F591B52D302E7181331,9
3265,11.249999981373549,Dresses,Alki'i Missy Hibiscus Halter Summer Beach Sun Dress - Kauai Print,Alki'i,25.0,Women,F4334C131C781E2A6F0A5E34814C8147,1
2589,11.19551996374458,Active,Women's Charged CottonÂ® Sassy Scoop T-Shirt Tops by Under Armour,Under Armour,24.989999771118164,Women,743C41A921516B04AFDE48BB48E28CE6,10
10003,37.31535056024194,Sleep & Lounge,Women's Plaid Flannel Pajama Set by SleepytimePjs,SleepytimePjs,58.950000762939446,Women,F5DFFC111454B227FBCDF36178DFE6AC,5
10911,4.742399936413765,Intimates,Hanes Women's Cotton Sporty Boy Briefs,Hanes,9.119999885559082,Women,6BD2AB1DE93563CCC2AC555B8F1808DE,3
23726,52.47000019997358,Outerwear & Coats,Quiksilver Waterman Men's Santa Cruz Jacket,Quiksilver,110.0,Men,11B4076AFD563B2612049C2C77465B32,9
28002,22.634340935710668,Swim,Oneill Men's Clean & Mean Board Short,O'Neill,39.9900016784668,Men,B0653AFA5CFD29ECA06D158E96115519,8
15301,21.48200000822544,Plus,Champion Women's Powerback Under Wire Sports Bra,Champion,46.0,Women,DBB77B62AE881389D42BC4B906066292,2
19882,35.986999936401844,Suits & Sport Coats,DC Men's Diamond Jacket,DC,97.0,Men,09FF1A75BB4584E13FF875B93B9C379D,4
